F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  1739     1  0  80   0 -  7156 -      ?        00:00:00 systemd-logind
4 S   109  1740     1  0  80   0 - 96674 -      ?        00:00:00 whoopsie
4 S     0  1760     1  0  80   0 - 74675 -      ?        00:00:00 accounts-daemon
4 S     0  1763     1  0  80   0 - 50188 -      ?        00:00:00 snapd
1 S   111  1818  1704  0  80   0 - 11197 -      ?        00:00:00 avahi-daemon
4 S     0  1820     1  0  80   0 - 68705 -      ?        00:00:00 cups-browsed
4 S     0  1861     1  0  80   0 - 76211 -      ?        00:00:00 polkitd
4 S     0  1919     1  0  80   0 - 73040 -      ?        00:00:00 lightdm
1 S     0  1930     2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 S     0  1935     2  0  80   0 -     0 -      ?        00:00:00 iprt-VBoxTscThr
4 S     0  2158  1919  6  80   0 - 82060 -      tty7     00:01:26 Xorg
4 S     0  2160     1  0  80   0 -  5752 -      tty1     00:00:00 agetty
4 S     0  2165  1722  0  80   0 -  4030 -      ?        00:00:00 dhclient
4 S 65534  2188  1722  0  80   0 - 14994 -      ?        00:00:00 dnsmasq
1 S     0  2221     1  0  80   0 - 65954 -      ?        00:00:00 VBoxService
4 S     0  2436  1919  0  80   0 - 57059 -      ?        00:00:00 lightdm
4 S  1000  2443     1  0  80   0 - 11312 ep_pol ?        00:00:00 systemd
5 S  1000  2453  2443  0  80   0 - 15874 -      ?        00:00:00 (sd-pam)
4 S  1000  2552  2436  0  80   0 - 13441 poll_s ?        00:00:00 upstart
1 S  1000  2566     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2567  2566  0  80   0 - 31239 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  2576     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2577  2576  0  80   0 - 14176 poll_s ?        00:00:00 VBoxClient
1 S  1000  2581     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2582  2581  0  80   0 - 30689 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  2586     1  0  80   0 - 14143 wait   ?        00:00:00 VBoxClient
1 S  1000  2587  2586  0  80   0 - 30818 futex_ ?        00:00:01 VBoxClient
1 S  1000  2741  2552  0  80   0 -  9998 poll_s ?        00:00:00 upstart-udev-br
1 S  1000  2742  2552  0  80   0 - 10933 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  2754  2552  0  80   0 - 23354 poll_s ?        00:00:00 window-stack-br
1 S  1000  2781  2552  0  80   0 - 12145 poll_s ?        00:00:00 upstart-file-br
1 S  1000  2783  2552  0  80   0 -  9975 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  2785  2552  0  80   0 -  9975 poll_s ?        00:00:00 upstart-dbus-br
1 S  1000  2786  2552  0  80   0 - 91445 poll_s ?        00:00:00 ibus-daemon
1 S  1000  2796  2552  0  80   0 - 53162 -      ?        00:00:00 gnome-keyring-d
0 S  1000  2811  2552  0  80   0 - 70455 poll_s ?        00:00:00 gvfsd
1 S  1000  2812  2552  0  80   0 - 43532 -      ?        00:00:00 gpg-agent
0 S  1000  2830  2552  0  80   0 - 257088 poll_s ?       00:00:00 unity-settings-
0 S  1000  2831  2552  0  80   0 - 155530 poll_s ?       00:00:00 bamfdaemon
0 S  1000  2840  2552  0  80   0 - 163998 poll_s ?       00:00:00 hud-service
0 S  1000  2842  2552  0  80   0 - 104990 futex_ ?       00:00:00 gvfsd-fuse
0 S  1000  2847  2786  0  80   0 - 71225 poll_s ?        00:00:00 ibus-dconf
0 R  1000  2848  2552 16  80   0 - 307474 -     ?        00:03:31 compiz
0 S  1000  2849  2786  0  80   0 - 144440 poll_s ?       00:00:00 ibus-ui-gtk3
0 S  1000  2853  2552  0  80   0 - 132059 poll_s ?       00:00:00 ibus-x11
0 S  1000  2864  2552  0  80   0 - 88417 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  2866  2552  0  80   0 - 177288 poll_s ?       00:00:00 gnome-session-b
0 S  1000  2868  2552  0  80   0 - 184754 poll_s ?       00:00:00 unity-panel-ser
0 S  1000  2873  2864  0  80   0 - 10723 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  2909  2552  0  80   0 - 44666 poll_s ?        00:00:00 dconf-service
0 S  1000  2920  2552  0  80   0 - 51744 poll_s ?        00:00:00 at-spi2-registr
4 S     0  3342     1  0  80   0 - 88638 -      ?        00:00:00 upowerd
0 S  1000  3370  2786  0  80   0 - 52276 poll_s ?        00:00:00 ibus-engine-sim
0 S  1000  3374  2552  0  80   0 - 91905 poll_s ?        00:00:00 indicator-messa
0 S  1000  3375  2552  0  80   0 - 89118 poll_s ?        00:00:00 indicator-bluet
0 S  1000  3377  2552  0  80   0 - 92470 poll_s ?        00:00:00 indicator-power
0 S  1000  3378  2552  0  80   0 - 197318 poll_s ?       00:00:00 indicator-datet
0 S  1000  3379  2552  0  80   0 - 163014 poll_s ?       00:00:00 indicator-keybo
0 S  1000  3381  2552  0  80   0 - 189259 poll_s ?       00:00:00 indicator-sound
0 S  1000  3382  2552  0  80   0 - 137621 poll_s ?       00:00:00 indicator-print
0 S  1000  3383  2552  0  80   0 - 144553 poll_s ?       00:00:00 indicator-sessi
0 S  1000  3386  2552  0  80   0 - 98985 poll_s ?        00:00:00 indicator-appli
1 S  1000  3390  2552  0  69 -11 - 110599 poll_s ?       00:00:00 pulseaudio
4 S   118  3394     1  0  81   1 - 45886 -      ?        00:00:00 rtkit-daemon
4 S   113  3425     1  0  80   0 - 80239 -      ?        00:00:00 colord
0 S  1000  3446  2552  0  80   0 - 176211 poll_s ?       00:00:00 evolution-sourc
0 S  1000  3486  2866  0  80   0 - 144374 poll_s ?       00:00:00 unity-fallback-
0 S  1000  3490  2866  0  80   0 - 250320 poll_s ?       00:00:02 nautilus
0 S  1000  3499  2866  0  80   0 - 108039 poll_s ?       00:00:00 polkit-gnome-au
0 S  1000  3530  2866  0  80   0 - 166417 poll_s ?       00:00:00 nm-applet
0 S  1000  3534  2866  0  80   0 - 265229 poll_s ?       00:00:08 gnome-software
0 S  1000  3540  2552  0  80   0 - 131274 poll_s ?       00:00:00 gvfs-udisks2-vo
4 S     0  3550     1  0  80   0 - 95756 -      ?        00:00:00 udisksd
4 S     0  3568     1  0  80   0 - 158863 -     ?        00:00:00 fwupd
0 S  1000  3570  2552  0  80   0 - 66208 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  3575  2552  0  80   0 - 66698 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  3580  2552  0  80   0 - 69747 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  3585  2552  0  80   0 - 102728 poll_s ?       00:00:00 gvfs-afc-volume
0 S  1000  3595  2552  0  80   0 - 217480 poll_s ?       00:00:00 evolution-calen
0 S  1000  3608  2552  0  80   0 - 92790 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  3632  2552  0  80   0 - 48319 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  3648  3595  0  80   0 - 207529 poll_s ?       00:00:00 evolution-calen
0 S  1000  3658  3595  0  80   0 - 203594 poll_s ?       00:00:00 evolution-calen
0 S  1000  3660  2552  0  80   0 - 176221 poll_s ?       00:00:00 evolution-addre
0 S  1000  3680  3660  0  80   0 - 195096 poll_s ?       00:00:00 evolution-addre
0 S  1000  3710  2866  0  80   0 - 104249 poll_s ?       00:00:00 zeitgeist-datah
0 S  1000  3717  2552  0  80   0 -  1127 wait   ?        00:00:00 sh
0 S  1000  3724  3717  0  80   0 - 89472 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  3732  2552  0  80   0 - 80365 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  3805  2866  0  80   0 - 150194 poll_s ?       00:00:00 update-notifier
4 S     0  3839     1  0  85   5 - 73448 -      ?        00:00:01 aptd
0 S  1000  3849  2552  0  80   0 - 165494 poll_s ?       00:00:00 gnome-terminal-
0 S  1000  3856  3849  0  80   0 -  7376 wait   pts/2    00:00:00 bash
0 S  1000  3882  2552  0  80   0 - 111321 poll_s ?       00:00:00 gvfsd-network
0 S  1000  3898  2866  0  80   0 - 112193 poll_s ?       00:00:00 deja-dup-monito
0 S  1000  3907  2552  0  80   0 - 92254 poll_s ?        00:00:00 gvfsd-dnssd
0 R  1000  3957  2552 30  80   0 - 426511 -     ?        00:05:30 firefox
0 S  1000  3984  2552  0  80   0 - 17167 poll_s ?        00:00:00 gconfd-2
1 S     0 24350     2  0  80   0 -     0 -      ?        00:00:00 kworker/0:0
0 R  1000 24438  3856  0  80   0 -  9000 -      pts/2    00:00:00 ps
